,specific_keywords
153,"['Micro-economie', 'Macro-economie', 'Beleidsanalyse', 'Econometrie', 'Marktstructuur', 'Monetaire', 'Arbeidseconomie', 'Milieueconomie', 'Ontwikkelingseconomie', 'Publieke']"
154,"['Ondernemerschap', 'Innovatie', 'Bedrijfsontwikkeling', 'Start-ups', 'Ondernemersvaardigheden', 'Ondernemersstrategieën', 'Risicobeheer', 'Bedrijfsplanning', 'Marktanalyse', 'Creativiteit']"
155,"['Europese', 'Europese', 'Politieke', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese', 'Europese']"
156,"['Metafysica', 'Epistemologie', 'Ethiek', 'Logica', 'Fenomenologie', 'Existentialisme', 'Rationalisme', 'Empirisme', 'Politieke', 'Ethiek']"
157,"['Epistemologie', 'Ethiek', 'Metafysica', 'Logica', 'Filosofie', 'Filosofie', 'Politieke', 'Esthetica', 'Filosofie', 'Filosofie']"
158,"['Duurzaamheid', 'Klimaatverandering', 'Milieubeleid', 'Hernieuwbare', 'Circulaire', 'Biodiversiteit', 'Stedelijke', 'Waterbeheer', 'Voedselzekerheid', 'Sociale']"
159,"['Natuurlijke', 'hulpbronnen,', 'Ruimtelijke', 'ordening,', 'Duurzaamheid,', 'Klimaatverandering,', 'Stedelijke', 'ontwikkeling,', 'Waterbeheer,', 'Landschapsanalyse,', 'Milieubeleid,', 'Bevolkingsgroei,', 'Geografische', 'informatiesystemen']"
160,"['Historisch', 'Bronnenanalyse', 'Chronologie', 'Historische', 'Historisch', 'Historische', 'Historische', 'Historische', 'Historische', 'Historische']"
161,"['Historisch', 'Bronnenanalyse', 'Historische', 'Historiografie', 'Chronologie', 'Politieke', 'Sociale', 'Culturele', 'Economische', 'Wereldgeschiedenis']"
162,"['Volksgezondheid', 'Sociale', 'Gezondheidsbeleid', 'Gezondheidsongelijkheid', 'Gezondheidszorgstelsels', 'Preventieve', 'Gezondheidspromotie', 'Gezondheidseducatie', 'Sociale', 'Maatschappelijke']"
163,"['Volksgezondheid', 'Epidemiologie', 'Preventie', 'Gezondheidsbevordering', 'Gezondheidszorgsysteem', 'Gezondheidsbeleid', 'Ziektepreventie', 'Gezondheidsinterventies', 'Gezondheidsongelijkheid', 'Gezondheidseducatie']"
164,"['Globalisering', 'Duurzaamheid', 'Sociale', 'Multinationale', 'Maatschappelijke', 'Stakeholdermanagement', 'Ethiek', 'Armoedebestrijding', 'Klimaatverandering', 'Sociale']"
165,"['Globalisering', 'Duurzaamheid', 'Maatschappelijke', 'Leiderschap', 'Mondiale', 'Ethiek', 'Sociale', 'Samenwerking', 'Culturele', 'Veranderingen']"
166,"['Klassieke', 'Oud', 'Latijn', 'Mythologie', 'Literatuur', 'Filosofie', 'Geschiedenis', 'Archeologie', 'Epiek', 'Oudheid']"
167,"['Natuurlijke', 'hulpbronnen,', 'stedelijke', 'ontwikkeling,', 'demografie,', 'ruimtelijke', 'ordening,', 'sociale', 'ongelijkheid,', 'duurzaamheid,', 'migratie,', 'landgebruik,', 'culturele', 'diversiteit,', 'milieubeleid']"
168,"['Human', 'Employee', 'Performance', 'Training', 'Compensation', 'Employee', 'Talent', 'Diversity', 'Organizational', 'Employee']"
169,"['Productontwerp', 'Ergonomie', 'Prototyping', 'Gebruikerservaring', 'Duurzaamheid', 'Materialen', 'Human-centered', 'Industriële', 'Interactieontwerp', 'Innovatie']"
170,"['Interdisciplinair', 'Sociale', 'Sociologie', 'Psychologie', 'Antropologie', 'Politieke', 'Sociaal', 'Genderstudies', 'Migratie', 'Onderzoeksmethoden']"
171,"['Interdisciplinair', 'Sociale', 'Samenleving', 'Cultuur', 'Gedrag', 'Sociologie', 'Psychologie', 'Antropologie', 'Politicologie', 'Onderzoeksmethoden']"
172,"['Communicatie', 'Media', 'Internationaal', 'Digitale', 'Sociale', 'Journalistiek', 'Public', 'Marketingcommunicatie', 'Cross-culturele', 'Mediatheorie']"
173,"['Wereldgeschiedenis', 'Historisch', 'Politieke', 'Sociale', 'Culturele', 'Economische', 'Kolonialisme', 'Oorlog', 'Diplomatie', 'Historische']"
174,"['Psychologie', 'Internationaal', 'Bachelor', 'Cognitieve', 'Klinische', 'Sociale', 'Ontwikkelingspsychologie', 'Neuropsychologie', 'Onderzoeksmethoden', 'Psychopathologie']"
175,"['Globalisering', 'Internationale', 'Multinationale', 'Internationaal', 'Cross-culturele', 'Internationale', 'Internationale', 'Strategisch', 'Internationaal', 'Internationale']"
176,"['Globalisering', 'Internationale', 'Multinationale', 'Cross-cultureel', 'Strategisch', 'Internationale', 'Financieel', 'Supply', 'Internationale', 'Internationaal']"
177,"['Globalisering', 'Internationale', 'Diplomatie', 'Wereldwijde', 'Internationale', 'Culturele', 'Mondiale', 'Politieke', 'Mensenrechten', 'Internationale']"
178,"['Ontwikkelingsbeleid', 'Duurzame', 'Armoedebestrijding', 'Gendergelijkheid', 'Mondiale', 'Sociale', 'Klimaatverandering', 'Mensenrechten', 'Internationale', 'Economische']"
179,"['Diplomatie', 'Internationale', 'Globalisering', 'Veiligheid', 'Machtsverhoudingen', 'Internationale', 'Conflictbeheersing', 'Ontwikkelingssamenwerking', 'Mensenrechten', 'Internationale']"
180,"['Islamitische', 'Politieke', 'Sociale', 'Sharia', 'Islamitische', 'Religieuze', 'Islamitisch', 'Politieke', 'Islamitische', 'Radicalisering']"
181,"['Machine', 'Neurale', 'Data-analyse', 'Robotica', 'Natuurlijke', 'Computer', 'Expertsystemen', 'Reinforcement', 'Deep', 'Automatische']"
182,"['Rechtsstaat', 'Jurisdictie', 'Gerechtigheid', 'Mensenrechten', 'Wetgeving', 'Rechtspraak', 'Legaliteit', 'Strafrecht', 'Burgerlijk', 'Sociale']"
183,"['Liberal', 'Global', 'Interdisciplinary', 'Critical', 'Problem-solving', 'International', 'Sustainability', 'Social', 'Cultural', 'Research']"
184,"['Interdisciplinair', 'Kritisch', 'Brede', 'Persoonlijke', 'Creativiteit', 'Maatschappelijke', 'Onderzoeksvaardigheden', 'Probleemoplossend', 'Communicatievaardigheden', 'Flexibiliteit']"
185,"['Interdisciplinair', 'Kritisch', 'Academische', 'Brede', 'Maatschappelijke', 'Probleemoplossend', 'Creativiteit', 'Onderzoeksvaardigheden', 'Globalisering', 'Persoonlijke']"
186,"['Interdisciplinair', 'Brede', 'Kritisch', 'Analytische', 'Creatief', 'Diversiteit', 'Wereldburgerschap', 'Sociale', 'Onderzoeksvaardigheden', 'Communicatieve']"
187,"['Interdisciplinair', 'Breed', 'Kritisch', 'Analytische', 'Probleemoplossend', 'Academische', 'Persoonlijke', 'Communicatieve', 'Onderzoeksmethoden', 'Maatschappelijke']"
188,"['Liberal', 'Sciences', 'Interdisciplinary', 'Critical', 'Problem-solving', 'Communication', 'Analytical', 'Research', 'Global', 'Ethical']"
189,"['Interdisciplinary', 'Critical', 'Analytical', 'Problem-solving', 'Communication', 'Research', 'Global', 'Ethical', 'Cultural', 'Intellectual']"
190,"['Interdisciplinair', 'Academische', 'Brede', 'Kritisch', 'Probleemoplossing', 'Maatschappelijk', 'Onderzoeksvaardigheden', 'Diversiteit', 'Internationale', 'Persoonlijke']"
191,"['Interdisciplinair', 'Liberal', 'Wetenschap', 'Duurzaamheid', 'Globalisering', 'Probleemoplossing', 'Kritisch', 'Onderzoeksvaardigheden', 'Maatschappelijke', 'Persoonlijke']"
192,"['Global', 'Cross-cultural', 'Sustainable', 'Social', 'Corporate', 'Human', 'Poverty', 'Conflict', 'Stakeholder', 'International']"
193,"['Management', 'Technologie', 'Samenleving', 'Duurzaamheid', 'Innovatie', 'Ondernemerschap', 'Digitalisering', 'Verandermanagement', 'Maatschappelijke', 'Ethiek']"
194,"['Massamedia', 'Populaire', 'Mediakritiek', 'Mediatechnologie', 'Cultuurindustrie', 'Mediabeleid', 'Mediaproduktie', 'Publieksstudies', 'Digitale', 'Mediacommunicatie']"
195,"['Natuurwetenschap', 'Innovatie', 'Management', 'Technologie', 'Onderzoek', 'Duurzaamheid', 'Wetenschappelijke', 'Bedrijfsontwikkeling', 'R&D', 'Technologische']"
196,"['Onderwijskunde', 'Leerprocessen', 'Onderwijsbeleid', 'Didactiek', 'Leerlingbegeleiding', 'Curriculumontwikkeling', 'Onderwijsinnovatie', 'Onderwijsevaluatie', 'Leerlingprestaties', 'Professionalisering']"
197,"['Onderwijskunde', 'Leerprocessen', 'Didactiek', 'Curriculumontwikkeling', 'Leerlingbegeleiding', 'Onderwijsbeleid', 'Onderwijsinnovatie', 'Onderwijspsychologie', 'Onderzoeksmethoden', 'Professionalisering']"
198,"['Digitale', 'Sociale', 'Participatieve', 'Internetcultuur', 'Digitale', 'Mediakritiek', 'Online', 'Memes', 'Virtuele', 'Netwerktheorie']"
199,"['Organisatiestructuur', 'Leiderschap', 'Human', 'Verandermanagement', 'Strategisch', 'Organisatiecultuur', 'Projectmanagement', 'Operationeel', 'Ondernemerschap', 'Innovatie']"
200,"['Opvoeding', 'Onderwijs', 'Ontwikkelingspsychologie', 'Leerprocessen', 'Sociale', 'Pedagogisch', 'Inclusief', 'Ouder-kind', 'Jeugdzorg', 'Pedagogische']"
201,"['Opvoeding', 'Onderwijs', 'Ontwikkeling', 'Leerprocessen', 'Pedagogisch', 'Jeugdzorg', 'Onderwijsbeleid', 'Kinderpsychologie', 'Sociale', 'Inclusief']"
202,"['Opvoeding', 'Onderwijs', 'Ontwikkeling', 'Pedagogiek', 'Jeugd', 'Leerprocessen', 'Gedrag', 'Onderzoeksmethoden', 'Interventies', 'Sociale']"
203,"['Opvoeding', 'Ontwikkeling', 'Onderwijs', 'Pedagogiek', 'Leerprocessen', 'Jeugdzorg', 'Psychologie', 'Onderzoeksmethoden', 'Sociale', 'Inclusief']"
204,"['Opvoeding', 'Onderwijs', 'Ontwikkeling', 'Leerprocessen', 'Pedagogiek', 'Jeugdzorg', 'Kinderpsychologie', 'Onderwijsbeleid', 'Inclusief', 'Sociale']"
205,"['Ontwikkelingspsychologie', 'Onderwijskunde', 'Opvoeding', 'Leerprocessen', 'Sociale', 'Pedagogisch', 'Inclusief', 'Pedagogische', 'Gezinsdynamiek', 'Jeugdzorg']"
206,"['Opvoeding', 'Onderwijs', 'Ontwikkelingspsychologie', 'Pedagogiek', 'Leerproblemen', 'Sociale', 'Inclusief', 'Risicofactoren', 'Interventies', 'Jeugdzorg']"
207,"['Human', 'Arbeidspsychologie', 'Organisatiegedrag', 'Loopbaanontwikkeling', 'Talentmanagement', 'Organisatiecultuur', 'Arbeidsrecht', 'Diversiteit', 'Employee', 'Leiderschap']"
208,"['Ethiek', 'Rationaliteit', 'Politieke', 'Economische', 'Sociale', 'Besluitvorming', 'Machtsverhoudingen', 'Globalisering', 'Marktfalen', 'Publiek']"
209,"['Ethiek', 'Politieke', 'Sociale', 'Democratie', 'Mensenrechten', 'Machtsverhoudingen', 'Politieke', 'Sociale', 'Globalisering', 'Politieke']"
210,"['Politieke', 'Internationale', 'Vergelijkende', 'Politieke', 'Openbaar', 'Politiek', 'Politieke', 'Politieke', 'Politieke', 'Politieke']"
211,"['Internationale', 'Diplomatie', 'Machtsevenwicht', 'Mondiale', 'Conflict', 'Politieke', 'Globalisering', 'Regionale', 'Mensenrechten', 'Internationale']"
212,"['Diplomatie', 'Internationale', 'Veiligheidsbeleid', 'Mondiale', 'Internationale', 'Diplomatieke', 'Internationale', 'Internationale', 'Internationale', 'Mondiale']"
213,"['Politieke', 'Politieke', 'Internationale', 'Politieke', 'Publieke', 'Politieke', 'Politieke', 'Machtsverhoudingen', 'Politieke', 'Politiek']"
214,"['Politieke', 'Politieke', 'Internationale', 'Politieke', 'Democratie', 'Politieke', 'Politiek', 'Machtsverdeling', 'Politieke', 'Politieke']"
215,"['Politieke', 'Internationale', 'Politieke', 'Politieke', 'Politiek', 'Democratie', 'Machtsverdeling', 'Politieke', 'Politieke', 'Politieke']"
216,"['Politieke', 'Internationale', 'Politieke', 'Politieke', 'Machtsverdeling', 'Politieke', 'Politiek', 'Democratie', 'Politieke', 'Publieke']"
217,"['Government', 'Democracy', 'International', 'Political', 'Public', 'Political', 'Power', 'Political', 'Political', 'Political', 'Behavior', 'Cognitive', 'Mental', 'Developmental', 'Personality', 'Social', 'Neuroscience', 'Psychopathology', 'Psychological', 'Counseling', 'Legal', 'Constitutional', 'Criminal', 'Civil', 'International', 'Legal', 'Legal', 'Legal', 'Legal', 'Legal', 'Supply', 'Macroeconomics', 'Microeconomics', 'Economic', 'Market', 'Fiscal', 'Monetary', 'International', 'Economic', 'Economic']"
218,"['Neurotransmitters', 'Hormonen', 'Gedragsgenetica', 'Emotieregulatie', 'Neuroplasticiteit', 'Stressrespons', 'Hersenontwikkeling', 'Slaapstoornissen', 'Cognitieve', 'Psychopathologie']"
219,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Neurowetenschappen', 'Sociale', 'Gezondheid', 'Psychopathologie']"
220,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Neurowetenschappen', 'Gezondheid', 'Onderzoeksmethoden']"
221,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Neuropsychologie', 'Sociale', 'Gezondheid', 'Onderzoeksmethoden']"
222,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Neurowetenschappen', 'Gezondheidspsychologie', 'Onderzoeksmethoden']"
223,"['Gedrag', 'Cognitie', 'Emoties', 'Persoonlijkheid', 'Ontwikkelingspsychologie', 'Sociale', 'Klinische', 'Neuropsychologie', 'Psychopathologie', 'Onderzoeksmethoden']"
224,"['Cognitie', 'Emotie', 'Gedrag', 'Persoonlijkheid', 'Ontwikkelingspsychologie', 'Klinische', 'Sociale', 'Neuropsychologie', 'Psychopathologie', 'Experimenteel']"
225,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Geestelijke', 'Neurowetenschappen', 'Onderzoeksmethoden']"
226,"['Cognitie', 'Emotie', 'Gedrag', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Neurowetenschappen', 'Gezondheidspsychologie', 'Psychopathologie']"
227,"['Gedrag', 'Cognitie', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Gezondheid', 'Neurowetenschappen', 'Statistiek']"
228,"['Gedrag', 'Cognitie', 'Emoties', 'Ontwikkeling', 'Persoonlijkheid', 'Sociale', 'Geestelijke', 'Therapie', 'Neurowetenschappen', 'Onderzoeksmethoden']"
229,"['Cognitie', 'Gedrag', 'Emotie', 'Persoonlijkheid', 'Ontwikkeling', 'Therapie', 'Sociale', 'Geheugen', 'Motivatie', 'Psychopathologie']"
230,"['Cognitie', 'Emotie', 'Gedrag', 'Persoonlijkheid', 'Ontwikkelingspsychologie', 'Sociale', 'Klinische', 'Neuropsychologie', 'Psychopathologie', 'Therapie']"
231,"['Mens-computer', 'Digitale', 'Technologie-gebaseerd', 'Cyberpsychologie', 'E-therapie', 'Virtuele', 'Sociale', 'Technologieverslaving', 'Psychologische', 'Neurowetenschap']"
232,"['Juridisch', 'Bedrijfsrecht', 'Contractenrecht', 'Arbeidsrecht', 'Ondernemingsrecht', 'Bestuursrecht', 'Intellectueel', 'Compliance', 'Risicobeheer', 'Bedrijfsstrategie']"
233,"['Jurisprudentie', 'Wetgeving', 'Rechtspraak', 'Grondwet', 'Rechtssysteem', 'Rechtsfilosofie', 'Rechtsbeginselen', 'Contractenrecht', 'Strafrecht', 'Internationaal']"
234,"['Veiligheidsbeleid', 'Internationale', 'Terrorisme', 'Conflictbeheersing', 'Inlichtingen', 'Cyberbeveiliging', 'Militaire', 'Veiligheidsgovernance', 'Risicoanalyse', 'Veiligheidssectorhervorming']"
235,"['Natuurlijke', 'hulpbronnen,', 'Ruimtelijke', 'ordening,', 'Stedelijke', 'ontwikkeling,', 'Sociale', 'ongelijkheid,', 'Duurzaamheid,', 'Migratiepatronen,', 'Ruimtelijke', 'planning,', 'Sociale', 'cohesie,', 'Regionale', 'ontwikkeling,', 'Milieubeleid.']"
236,"['Natuurlijke', 'hulpbronnen,', 'Stedelijke', 'ontwikkeling,', 'Ruimtelijke', 'ordening,', 'Sociale', 'ongelijkheid,', 'Demografie,', 'Migratie,', 'Duurzaamheid,', 'Sociale', 'netwerken,', 'Cultuur,', 'Globalisering']"
237,"['Sociale', 'Sociale', 'Cultuur', 'Identiteit', 'Sociale', 'Macht', 'Globalisering', 'Sociale', 'Sociale', 'Sociologische']"
238,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale']"
239,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Cultuur', 'Sociale', 'Gemeenschap', 'Sociale', 'Sociologische']"
240,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociologische', 'Cultuur', 'Genderongelijkheid', 'Rassendiscriminatie', 'Armoede', 'Globalisering']"
241,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale']"
242,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Cultuur', 'Identiteit', 'Gender', 'Macht', 'Globalisering']"
243,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Identiteit', 'Cultuur', 'Globalisering', 'Macht', 'Sociale', 'Sociale']"
244,"['Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale', 'Sociale']"
245,"['Ruimtelijke', 'Stedelijke', 'Landschapsontwerp', 'Duurzame', 'Gebiedsontwikkeling', 'Stedenbouwkundig', 'Milieubeheer', 'Infrastructuurplanning', 'Ruimtelijke', 'Participatieve']"
246,"['Duurzaamheid', 'Innovatie', 'Circulaire', 'Groene', 'Maatschappelijk', 'Energie-efficiëntie', 'Klimaatverandering', 'Duurzame', 'Milieubeheer', 'Sociale']"
247,"['Fonologie', 'Morfologie', 'Syntaxis', 'Semantiek', 'Pragmatiek', 'Taalverwerving', 'Taalstoornissen', 'Sociolinguïstiek', 'Taalcontact', 'Taaltechnologie']"
248,"['Bijbelinterpretatie', 'Kerkgeschiedenis', 'Godsdienstfilosofie', 'Ethiek', 'Dogmatiek', 'Liturgie', 'Hermeneutiek', 'Theologische', 'Ecclesiologie', 'Religieuze']"
249,"['Godsdienst', 'Religie', 'Bijbel', 'Theologiegeschiedenis', 'Kerkgeschiedenis', 'Dogmatiek', 'Ethiek', 'Hermeneutiek', 'Christologie', 'Ecclesiologie']"
250,"['Duurzaam', 'Toerismebeheer', 'Gastvrijheid', 'Toeristisch', 'Bestemmingsmarketing', 'Toeristische', 'Toeristische', 'Toeristische', 'Toeristische', 'Toeristische']"
251,"['Onderwijskunde', 'Didactiek', 'Pedagogiek', 'Leerpsychologie', 'Taalontwikkeling', 'Rekenvaardigheid', 'Inclusief', 'Differentiatie', 'Onderwijsinnovatie', 'Reflectief']"
252,"['Liberal', 'Interdisciplinary', 'Small-scale', 'International', 'Critical', 'Personalized', 'Global', 'Leadership', 'Community', 'Research-based']"
253,"['Interdisciplinair', 'Academische', 'Brede', 'Kritisch', 'Persoonlijke', 'Maatschappelijke', 'Onderzoeksvaardigheden', 'Internationale', 'Flexibiliteit', 'Kleinschalige']"
254,"['Interdisciplinair', 'Technologie', 'Duurzaamheid', 'Innovatie', 'Globalisering', 'Probleemoplossend', 'Ondernemerschap', 'Sociale', 'Wetenschap', 'Maatschappelijke']"
255,"['Liberal', 'Interdisciplinary', 'Small-scale', 'Critical', 'Global', 'Research-based', 'International', 'Personalized', 'Leadership', 'Academic']"
256,"['Stedelijke', 'Stadsplanning', 'Stedelijke', 'Stadsontwerp', 'Stedelijke', 'Stedelijke', 'Stedelijke', 'Stedelijke', 'Stadsbeheer', 'Stedelijke']"
257,"['Diergedrag', 'Voeding', 'Fokkerij', 'Diergezondheid', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke', 'Dierlijke']"
258,"['Machine', 'Deep', 'Neural', 'Natural', 'Computer', 'Robotics', 'Data', 'Expert', 'Cognitive', 'Reinforcement']"
259,"['Anatomie', 'Bewegingsleer', 'Kinesiologie', 'Revalidatie', 'Musculoskeletale', 'Neurologische', 'Fysiologie', 'Therapeutische', 'Manuele', 'Evidence-based']"
260,"['Overheidsbeleid', 'Publiek', 'Politieke', 'Organisatiekunde', 'Beleidsanalyse', 'Intergouvernementele', 'Openbaar', 'Stakeholdermanagement', 'Bestuursrecht', 'Politieke']"
261,"['Natuurkunde,', 'Scheikunde,', 'Biologie,', 'Wiskunde,', 'Informatica,', 'Statistiek,', 'Astrofysica,', 'Moleculaire', 'biologie,', 'Genetica,', 'Microbiologie']"
262,"['Biomechanica', 'Fysiologie', 'Motorische', 'Trainingswetenschappen', 'Bewegingsanalyse', 'Sportprestatie', 'Revalidatie', 'Ergonomie', 'Kinesiologie', 'Gezondheidsbevordering']"
263,"['Biomechanica', 'Motorisch', 'Fysiologie', 'Sportprestatie', 'Bewegingsanalyse', 'Trainingsprogramma', 'Kinesiologie', 'Anatomie', 'Revalidatie', 'Sportpsychologie']"
264,"['Celbiologie', 'Genetica', 'Ecologie', 'Evolutie', 'Anatomie', 'Fysiologie', 'Moleculaire', 'Biodiversiteit', 'Microbiologie', 'Biotechnologie']"
265,"['Evolutie', 'Ecologie', 'Genetica', 'Celbiologie', 'Biodiversiteit', 'Fysiologie', 'Moleculaire', 'Biotechnologie', 'Milieukunde', 'Microbiologie']"
266,"['Natuurlijke', 'selectie,', 'DNA,', 'celmembraan,', 'fotosynthese,', 'evolutie,', 'genetica,', 'microbiologie,', 'ecologie,', 'anatomie,', 'biochemie']"
267,"['Natuurlijke', 'selectie,', 'DNA', 'replicatie,', 'celmembraan,', 'fotosynthese,', 'genetische', 'variatie,', 'evolutie,', 'mitochondria,', 'biotechnologie,', 'ecologie,', 'immuniteit']"
268,"['Genexpressie', 'Moleculaire', 'Celbiologie', 'Immunologie', 'Genetica', 'Biochemie', 'Farmacologie', 'Epidemiologie', 'Microbiologie', 'Biotechnologie']"
269,"['Medische', 'Biotechnologie', 'Biomedische', 'Medische', 'Biomaterialen', 'Medische', 'Biomedische', 'Tissue', 'Medische', 'Biomedische']"
270,"['Biomedische', 'Medische', 'Biomechanica', 'Biomaterialen', 'Medische', 'Biotechnologie', 'Medische', 'Bio-informatica', 'Tissue', 'Medische']"
271,"['Genexpressie', 'Celbiologie', 'Moleculaire', 'Genetica', 'Immunologie', 'Biochemie', 'Farmacologie', 'Microbiologie', 'Biotechnologie', 'Epidemiologie']"
272,"['Biologie', 'Geneeskunde', 'Celbiologie', 'Genetica', 'Moleculaire', 'Immunologie', 'Farmacologie', 'Pathologie', 'Epidemiologie', 'Biochemie']"
273,"['Genetica', 'Moleculaire', 'Celbiologie', 'Immunologie', 'Farmacologie', 'Pathologie', 'Biochemie', 'Microbiologie', 'Bio-informatica', 'Klinische']"
274,"['Biologie', 'Geneeskunde', 'Celbiologie', 'Moleculaire', 'Genetica', 'Immunologie', 'Farmacologie', 'Pathologie', 'Epidemiologie', 'Biotechnologie']"
275,"['Farmacologie', 'Geneesmiddelenontwikkeling', 'Klinische', 'Farmaceutische', 'Medicinale', 'Farmacokinetiek', 'Farmacogenetica', 'Farmacotherapie', 'Toxicologie', 'Farmaceutische']"
276,"['Anatomie', 'Fysiologie', 'Pathologie', 'Farmacologie', 'Chirurgie', 'Diagnostiek', 'Preventieve', 'Voeding', 'Dierenwelzijn', 'Epidemiologie']"
277,"['Volksgezondheid', 'Epidemiologie', 'Gezondheidsbeleid', 'Gezondheidssystemen', 'Preventie', 'Gezondheidsbevordering', 'Sociale', 'Ziektepreventie', 'Gezondheidsongelijkheden', 'Gezondheidszorgbeheer']"
278,"['Geneesmiddelen', 'Farmacologie', 'Farmaceutische', 'Medicinale', 'Klinische', 'Farmacokinetiek', 'Farmacodynamiek', 'Farmaceutische', 'Farmaceutische', 'Farmaceutische']"
279,"['Geneesmiddelen', 'Farmaceutische', 'Farmacologie', 'Apotheekpraktijk', 'Medicijnontwikkeling', 'Farmaceutische', 'Klinische', 'Farmacotherapie', 'Farmacokinetiek', 'Farmaceutische']"
280,"['Geneesmiddelen', 'Farmaceutische', 'Apotheek', 'Medicatie', 'Farmacologie', 'Klinische', 'Farmacotherapie', 'Geneesmiddelenontwikkeling', 'Toxicologie', 'Farmaceutische']"
281,"['Anatomie', 'Fysiologie', 'Pathologie', 'Farmacologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Epidemiologie', 'Medische', 'Patiëntenzorg']"
282,"['Anatomie', 'Fysiologie', 'Farmacologie', 'Pathologie', 'Microbiologie', 'Immunologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Medische']"
283,"['Anatomie', 'Fysiologie', 'Farmacologie', 'Pathologie', 'Microbiologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Medische', 'Patiëntenzorg']"
284,"['Anatomie', 'Fysiologie', 'Pathologie', 'Farmacologie', 'Microbiologie', 'Diagnostiek', 'Chirurgie', 'Epidemiologie', 'Immunologie', 'Medische']"
285,"['Anatomie', 'Fysiologie', 'Farmacologie', 'Pathologie', 'Microbiologie', 'Epidemiologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Geneesmiddelen']"
286,"['Anatomie', 'Fysiologie', 'Pathologie', 'Farmacologie', 'Microbiologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Epidemiologie', 'Medische']"
287,"['Anatomie', 'Fysiologie', 'Farmacologie', 'Pathologie', 'Microbiologie', 'Epidemiologie', 'Diagnose', 'Behandeling', 'Chirurgie', 'Patiëntenzorg']"
288,"['Anatomie', 'Fysiologie', 'Farmacologie', 'Pathologie', 'Diagnostiek', 'Behandeling', 'Chirurgie', 'Infectieziekten', 'Epidemiologie', 'Medische']"
289,"['Gezondheidsbevordering', 'Preventieve', 'Leefstijlgerelateerde', 'Epidemiologie', 'Gezondheidsbeleid', 'Gezondheidspsychologie', 'Volksgezondheid', 'Ziektepreventie', 'Gezonde', 'Gezondheidseducatie']"
290,"['Volksgezondheid', 'Sociale', 'Gezondheidsbevordering', 'Gezondheidsongelijkheid', 'Gezondheidszorgsysteem', 'Preventie', 'Gezondheidsbeleid', 'Gezondheidsvoorlichting', 'Maatschappelijke', 'Gezondheidsinterventies']"
291,"['Gezondheidsbeleid', 'Epidemiologie', 'Volksgezondheid', 'Gezondheidszorgsysteem', 'Preventie', 'Gezondheidseducatie', 'Gezondheidsinterventies', 'Gezondheidsongelijkheid', 'Gezondheidsbevordering', 'Gezondheidsstatistieken']"
292,"['Volksgezondheid', 'Epidemiologie', 'Gezondheidsbevordering', 'Ziektepreventie', 'Gezondheidszorgsysteem', 'Gezondheidsbeleid', 'Gezondheidsongelijkheden', 'Gezondheidseducatie', 'Gezondheidsinterventies', 'Gezondheidsdata-analyse']"
293,"['Volksgezondheid', 'Epidemiologie', 'Gezondheidsbevordering', 'Ziektepreventie', 'Gezondheidszorgsysteem', 'Gezondheidsongelijkheid', 'Gezondheidsbeleid', 'Gezondheidseducatie', 'Gezondheidsinterventies', 'Gezondheidsstatistieken']"
294,"['Gezondheidsbeleid', 'Zorgmanagement', 'Volksgezondheid', 'Gezondheidszorgsysteem', 'Kwaliteitsverbetering', 'Epidemiologie', 'Gezondheidszorgbeleid', 'Zorginnovatie', 'Zorgfinanciering', 'Gezondheidsbevordering']"
